Event,Emotion
Can't solve the proof problem in the Advanced Calculus assignment,Annoyed
Group project again and team members are leaving me on read,Annoyed
Have to attend a mandatory social event for the department,Annoyed
It's pouring rain outside and I still have to go to campus,Annoyed
Dragged by my roommate to a party with too many people,Annoyed
Have to give a presentation in general ed class and I'm shaking,Annoyed
Coding assignment keeps giving me Syntax Errors,Annoyed
Required class is at 8 AM and I absolutely cannot wake up,Annoyed
Memorized the Mathematical Analysis theorem but forgot it again,Annoyed
Have to introduce myself in front of everyone,Annoyed
Internet disconnects every 5 minutes while gaming,Annoyed
Roommate is blasting music at 2 AM,Annoyed
Construction noise outside my window all morning,Annoyed
The bus is delayed and it's raining sideways,Annoyed
Department website crashed when I tried to register for classes,Annoyed
Someone took my umbrella from the rack,Annoyed
Required seminar is extremely boring and takes attendance,Annoyed
Forgot my password and got locked out of the system,Annoyed
People walking too slowly in front of me,Annoyed
Mosquito buzzing near my ear but I can't see it,Annoyed
The elevator is broken and I live on the 8th floor,Annoyed
My favorite pen ran out of ink during a test,Annoyed
People talking loudly in the quiet study area,Annoyed
Stepped in a puddle and my socks are wet,Annoyed
The vending machine took my money but gave no drink,Annoyed
Forced to attend a family gathering with relatives I hate,Annoyed
Windows decided to update when I needed to work,Annoyed
Got a spam call waking me up early in the morning,Annoyed
The cafeteria ran out of the only food I like,Annoyed
My glasses keep fogging up because of the mask,Annoyed
People chewing with their mouth open near me,Annoyed
The internet is slow only when I'm watching videos,Annoyed
My headphones wire keeps getting caught on door handles,Annoyed
Someone took the seat I usually sit in,Annoyed
The elevator stops at every single floor,Annoyed
Walking behind someone who is smoking,Annoyed
Got a paper cut while opening an envelope,Annoyed
The sun is glaring directly onto my monitor,Annoyed
My favorite snack is sold out at the vending machine,Annoyed
Laptop fan is making a really loud whirring noise,Annoyed
Someone is tapping their foot on my chair,Annoyed
Group chat is blowing up with notifications while I'm sleeping,Annoyed
Stepped on gum on the sidewalk,Annoyed
Youtube ads interrupted the best part of the song,Annoyed
Forgot my umbrella and it started drizzling,Annoyed
The automatic door didn't open for me,Annoyed
Someone formatted their code with spaces instead of tabs,Annoyed
The librarian told me to be quiet when I wasn't talking,Annoyed
My phone charger only works at a specific angle,Annoyed
Mosquito bite on the bottom of my foot,Annoyed
People talking during the movie,Annoyed
Stepping in a puddle with socks on,Annoyed
The zipper on my jacket got stuck,Annoyed
A fly buzzing around my food,Annoyed
Slow walkers blocking the whole sidewalk,Annoyed
My favorite pen went missing,Annoyed
The elevator is out of order,Annoyed
Someone chewing gum loudly,Annoyed
The tag on my shirt is itchy,Annoyed
Autocorrect changed a word to something embarrassing,Annoyed
Have a progress meeting with my advisor this week,Anxious
Have to make a phone call to a stranger to book a table,Anxious
Walking on the street and feeling like everyone is looking at me,Anxious
Grouping list isn't out yet and scared of being left alone,Anxious
Heard the final exam difficulty will be demon level,Anxious
Have to go to a crowded place to run an errand again,Anxious
Savings almost not enough to buy new anime merch,Anxious
Received an email from the professor with a vague subject line,Anxious
A relative I haven't seen in ages is suddenly visiting,Anxious
Scared of getting grouped with a terrible math major classmate,Anxious
Professor assigned a group project with random partners,Anxious
Have to ask the professor for a recommendation letter,Anxious
Running into a classmate I barely know at the supermarket,Anxious
Phone is ringing and it's an unknown number,Anxious
Thinking about the oral defense makes my stomach hurt,Anxious
Walking into a lecture hall late and everyone stares,Anxious
Someone knocked on my door unexpectedly,Anxious
Checking my grades online with shaking hands,Anxious
Have to negotiate the rent with the landlord,Anxious
Being forced to participate in an ice-breaking game,Anxious
Have to partner with the smartest kid in class and I feel dumb,Anxious
Hearing people whisper behind my back,Anxious
Checking my email for the internship rejection,Anxious
Professor didn't reply to my email for a week,Anxious
Going to a haircut and having to make small talk,Anxious
Walking into a room and forgetting why I'm there while people watch,Anxious
My bank account balance is lower than I thought,Anxious
Thinking about the future makes me chest tight,Anxious
Someone is knocking on the bathroom door while I'm inside,Anxious
Being called on to answer a question in a large lecture hall,Anxious
Have to walk past a group of loud teenagers,Anxious
The teacher is picking random people to read out loud,Anxious
Checking my credit card bill after a convention,Anxious
Someone sitting next to me on the empty bus,Anxious
Making eye contact with a stranger for too long,Anxious
Hearing sirens outside my window at night,Anxious
My stomach growled loudly in a quiet exam room,Anxious
Waiting for a text back from the group leader,Anxious
Thinking about all the embarrassing things I did 5 years ago,Anxious
Having to ask for ketchup at Mcdonalds,Anxious
The cashier started making small talk with me,Anxious
Forgot someone's name right after they introduced themselves,Anxious
Walking into a store and leaving without buying anything,Anxious
Typing an email and worrying about the tone,Anxious
"Professor wants to ""have a chat"" after class",Anxious
Hearing footsteps behind me while walking home,Anxious
Battery is at 1% and I'm lost,Anxious
Having to record a video of myself for an assignment,Anxious
Asking for help in the class discord server,Anxious
The barber asked how I want my hair cut,Anxious
Have to present a project to the whole department,Anxious
Hearing my name called in a crowd,Anxious
Checking the mailbox for a rejection letter,Anxious
Walking past a group of people laughing,Anxious
Professor staring at me while I take the test,Anxious
Asking for a refund at a store,Anxious
Making a phone call in public,Anxious
The doorbell rings when I'm not expecting anyone,Anxious
Thinking about job interviews,Anxious
Someone looking at my screen while I work,Anxious
Quietly doing math in the corner of the library alone,Calm
Didn't go out all weekend and kept phone on airplane mode,Calm
1 AM when the world is completely quiet,Calm
Put on headphones and listened to my favorite Japanese songs,Calm
Lying in bed staring blankly at the ceiling,Calm
Arranging manga books in order by volume number,Calm
Watching the ice cubes in my drink slowly melt,Calm
